´Ü¾î,Á¡¼ö
°¡±õ´Ù,1
°¡³­ÇÏ´Ù,-2
°¡´Ã´Ù,0
°¡´ÉÇÏ´Ù,2
°¡µæÇÏ´Ù,1
°¡º±´Ù,0
°¡»ÓÇÏ´Ù,1
°¡Áö·±ÇÏ´Ù,1
°¡È¤ÇÏ´Ù,-1
°£°áÇÏ´Ù,0
°£´ÜÇÏ´Ù,0
°£·«ÇÏ´Ù,0
°£ÀýÇÏ´Ù,2
°£Áö·´´Ù,0
°£ÆíÇÏ´Ù,2
°¨¹Ì·Ó´Ù,2
°©°©ÇÏ´Ù,-1
°©ÀÛ½º·´´Ù,-1
°­·ÂÇÏ´Ù,1
°­·ÄÇÏ´Ù,0
°­ÇÏ´Ù,1
°°´Ù,0
°³¶±°°´Ù,-2
°³¿îÇÏ´Ù,2
°µÂ÷´Ù,1
°Å´ëÇÏ´Ù,0
°Å¶áÇÏ´Ù,2
°Å¸¸ÇÏ´Ù,-2
°ÅºÏÇÏ´Ù,-2
°ÅÁö°°´Ù,-2
°ÅÃ¢ÇÏ´Ù,1
°ÆÁ¤½º·´´Ù,-1
°Ç°­ÇÏ´Ù,2
°ÇÁ¶ÇÏ´Ù,0
°É°ÉÇÏ´Ù,0
°ÉÂßÇÏ´Ù,0
°Ë´Ù,0
°Ë»ç,0
°ËÁø,0
°ÔÀ¸¸£´Ù,-1
°ß°íÇÏ´Ù,1
°â¼ÕÇÏ´Ù,2
°æ¹ÌÇÏ´Ù,-1
°æ¼ÖÇÏ´Ù,-1
°è½Ã,0
°è½Ã´Ù,0
°í±Þ½º·´´Ù,2
°í¸¸ÇÏ´Ù,-1
°í¸¿´Ù,2
°í¼ÒÇÏ´Ù,1
°í¿äÇÏ´Ù,0
°íÅë½º·´´Ù,-2
°íÇÁ´Ù,-1
°ï¶õÇÏ´Ù,-1
°ð´Ù,1
°õ°õÇÏ´Ù,0
°ö´Ù,2
±¤¹üÀ§ÇÏ´Ù,1
±¤È°ÇÏ´Ù,1
±¥¾ÂÇÏ´Ù,-2
±¦Âú´Ù,1
±«·Ó´Ù,-2
±²ÀåÇÏ´Ù,2
±¸¸®´Ù,-2
±¸¼öÇÏ´Ù,1
±»´Ù,0
±½´Ù,0
±Ã±ÝÇÏ´Ù,0
±Í¿±´Ù,2
±ÍÁßÇÏ´Ù,2
±ÍÂú´Ù,-1
±ÍÇÏ´Ù,2
±ÕÀÏÇÏ´Ù,1
±×µæÇÏ´Ù,1
±×·¡µµ,0
±×·¡¼­,0
±×·¨´Âµ¥,0
±×·¯¸é,0
±×·¯ÇÏ´Ù,1
±×·¸°Ô,0
±×·¸´Ù,1
±×¸³´Ù,1
±×¸¸ÇÏ´Ù,-1
±×À»¸®´Ù,0
±×Áö°°´Ù,-2
±Ø½ÉÇÏ´Ù,-1
±ØÁøÇÏ´Ù,2
±Ù»çÇÏ´Ù,2
±ÙÁ¢ÇÏ´Ù,0
±Þ°ÝÇÏ´Ù,0
±ÞÇÏ´Ù,-1
±â°í¸¸ÀåÇÏ´Ù,-2
±â´ëÇÏ´Ù,1
±â¸·È÷´Ù,1
±â»Ú´Ù,2
±âÁø¸ÆÁøÇÏ´Ù,-2
±âÆ¯ÇÏ´Ù,2
±ä°¡¹Î°¡ÇÏ´Ù,0
±ä±ÞÇÏ´Ù,0
±ä¹ÚÇÏ´Ù,-1
±æ´Ù,0
±í´Ù,0
±í¼÷ÇÏ´Ù,0
±î´Ù·Ó´Ù,-1
±î¸Ä´Ù,0
±îÄ¥ÇÏ´Ù,-1
±ñ±ñÇÏ´Ù,-1
±ò²ûÇÏ´Ù,2
±ôÂïÇÏ´Ù,1
±ú²ýÇÏ´Ù,2
²¿ÀÌ´Ù,-1
²Ä²ÄÇÏ´Ù,1
²Æ²ÆÇÏ´Ù,0
²ÒÁËÁËÇÏ´Ù,-1
²ÙÁØÇÏ´Ù,1
²Ü²ÜÇÏ´Ù,-1
²÷ÀÓ¾ø´Ù,1
²ûÂïÇÏ´Ù,-2
³¡³»ÁÖ´Ù,2
³¢ºÎ¸®´Ù,0
³©±â´Ù,0
³ª±ß³ª±ßÇÏ´Ù,1
³ª±ßÇÏ´Ù,1
³ª¶õÇÏ´Ù,0
³ª¸¥ÇÏ´Ù,1
³ª»Ú´Ù,-2
³ª¿­ÇÏ´Ù,0
³ªÁö¸·ÇÏ´Ù,0
³­°¨ÇÏ´Ù,-1
³­ÆøÇÏ´Ù,-1
³­ÇÏ´Ù,-2
³­ÇØÇÏ´Ù,-1
³¯·ÆÇÏ´Ù,0
³¯Ä«·Ó´Ù,-1
³°´Ù,-1
³²´Ù¸£´Ù,1
³³ÀÛÇÏ´Ù,0
³¶ºñÇÏ´Ù,-1
³·´Ù,0
³¸¼³´Ù,-1
