단어,점수
가가,0
가게,0
가계,0
가구,0
가기,0
가까워지다,1
가꾸다,1
가꾸어지다,1
가나,0
가누다,0
가늘어지다,0
가다,0
가다가,0
가다듬다,0
가다듬다다,0
가도,0
가두,0
가두다,0
가든,0
가라,0
가라앉다,0
가라앉히다,0
가려내다,0
가려지다,0
가로놓이다,0
가로막다,-1
가로막히다,-1
가로새다,0
가로서다,-1
가로지르다,-1
가르다,0
가르치다,0
가리다,0
가리어지다,0
가리우다,0
가리키다,0
가림,0
가만두다,0
가만있다,0
가면,0
가문,0
가물,0
가물다,0
가버리다,-1
가벼워지다,1
가보,0
가보다,0
가빠지다,0
가세,0
가수,0
가시,0
가시다,0
가신,0
가십,0
가안,0
가야,0
가오,0
가오리,0
가요,0
가을,0
가의,0
가전,0
가져가다,0
가져다주다,0
가져오다,0
가지,0
가지다,0
가짐,0
가집,0
가하다,0
가해,0
간고,0
간다,0
간단,0
간당이다,0
간댕이다,0
간두다,0
간이,0
간종그리다,0
간지,0
간지나다,0
간질거리다,0
갇히다,-1
갈건,0
갈겨쓰다,-1
갈고,0
갈구다,-1
갈다,0
갈라,0
갈라고,0
갈라지다,-1
갈래,0
갈리,0
갈리다,0
갈림,0
갈림길,0
갈수,0
갈아,0
갈아엎다,-1
갈아입다,0
갈아타다,0
갉다,0
갉아먹다,0
감고,0
감다,0
감당,0
감돌다,0
감사하다,2
감소,0
감시,0
감싸다,0
감자,0
감자전,0
감추다,0
갑사,0
값싸다,1
갖다,0
갖추다,1
갚다,0
개개다,0
개나리,0
개다,0
개도,0
개시,0
개인,0
개지,0
갸울다,0
거꾸러지다,0
거닐다,0
거두다,0
거두어들이다,0
거둬들이다,0
거든요,0
거들다,0
거스러지다,0
거슬리다,-1
거치다,0
건내다,0
건너,0
건너가다,0
건너다,0
건너오다,0
건네다,0
건네주다,0
건드리다,0
건지다,0
걷기,0
걷다,0
걷어차다,-2
걷히다,0
걸다,0
걸리다,0
걸어가다,0
걸어오다,0
걸음,0
걸치다,0
검어지다,0
겁나다,0
겁니다,0
게우다,0
겠다,0
겨루다,0
겨울,0
겪다,0
견디다,0
결리다,0
경감시키다,0
경사지다,0
경험시키다,0
곁들이다,0
고꾸라지다,0
고라,0
고라니,0
고르다,0
고름,0
고부리다,0
고치,0
고치다,0
곧서다,0
골다,0
골르다,0
골수,0
골재,0
골치,0
곯다,-2
곱씹다,0
공갈치다,-2
괴롭히다,-2
구기,0
구기다,0
구르다,0
구름,0
구부러지다,0
구부리다,0
구슬리다,0
구식이다,0
구푸리다,0
굳어지다,0
굳히다,0
굴러가다,0
굶다,-1
굶주리다,-1
굽다,0
굽신대다,-1
굽이치다,-1
굽히다,-1
권하다,0
권한,0
그려지다,0
그리고,0
그리다,0
그린,0
그릴,0
그림,0
그만두다,0
그치다,0
긁다,0
긋다,0
기계,0
기구,0
기내,0
기다,0
기다리다,0
기다림,0
기대다,0
기도,0
기르다,0
기름,0
기사,0
기어,0
기어오르다,0
기억나다,0
기에,0
기운,0
기울다,0
기울어지다,0
기울이다,0
기죽다,-1
기지,0
길가,0
길들다,0
길들이다,0
길래,0
길어지다,0
길이,0
길이므,0
김치,0
김해,0
깁다,0
까닥이다,0
까딱이다,0
까먹다,0
까발리다,0
까불다,-1
까지,0
까지는,0
까지도,0
까지를,0
까지만,0
까진,0
까치,0
까탈지다,0
깍이다,0
깎다,0
깐죽이다,0
깔다,0
깔딱이다,0
깔리다,0
깔보다,0
깔짝이다,0
깜박이다,0
깜빡,0
깜빡이다,0
깜작이다,0
깜짝이다,0
깨끗해지다,2
깨나,0
깨다,0
깨닫다,1
깨뜨리다,0
깨물다,-1
깨부수다,-1
깨어나다,0
깨어지다,0
깨여지다,0
깨우다,0
깨우치다,0
깨지다,0
깨치다,0
꺠어나다,0
꺼꾸러뜨리다,0
꺼꾸러지다,0
꺼내다,0
꺼리다,0
꺼벅이다,0
꺼지다,0
꺾다,0
껄떡이다,-1
껌벅이다,0
껌뻑이다,0
껵다,0
꼬꾸라지다,-1
꼬리치다,0
꼬박이다,0
꼬부라지다,0
꼬부리다,0
꼬불치다,0
꼬집다,1
꼲다,0
꼴다,-1
꼴리다,-1
꼽히다,0
꽂다,0
꽂히다,0
꽉차다,0
꽥꽥대다,0
꾀다,0
꾸기다,0
꾸다,0
꾸리,0
꾸리다,0
꾸무럭대다,0
꾸무적거리다,0
꾸무적대다,0
꾸물거리다,0
꾸미다,0
꾸벅이다,0
꾸부러지다,0
꾸뻑이다,0
꾸짖다,-1
꿇다,-1
꿈꾸다,0
꿰뚫다,0
꿰매다,0
끄다,0
끄덕이다,0
끊기다,0
끊다,0
끊어지다,0
끊음,-1
끌다,0
끌리다,0
끌어내리다,0
끌어당기다,0
끌어안다,1
끓다,0
끓이다,0
끙끙대다,-1
끝나다,0
끝내다,0
끼니,0
끼다,0
끼어들다,-1
끼우다,0
끼울다,0
끼치다,0
낄낄대다,-1
낑낑대다,-1
나가다,0
나가떨어지다,0
나가야,0
나가요,0
나기,0
나꾸다,0
나나,0
나노,0
나누다,0
나누어지다,0
나눔,0
나눠지다,0
나뉘다,0
나뉘어지다,0
나니,0
나다,0
나다니다,0
나대다,-1
나돌다,0
나동그라지다,0
나뒹굴다,-1
나르다,0
나무라다,-1
나부끼다,0
나불대다,-1
나붙다,0
나빠지다,-2
나사지다,0
나서다,0
나선,0
나시,0
나아가다,0
나아지다,0
나앉다,0
나야,0
나오니,0
나오다,0
나우,0
나이,0
나자빠지다,-1
